grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-34_-71,-34,-71,1,1,1,1,1000000.0,0.0,0.0,20.0,September,September:1,,3.82,64.96,Libertador General Bernardo O'Higgins, Libertador Gral. Bernardo O'Higgins
-34_151,-34,151,1,0,0,0,0.0,1.0,500100.0,27.0,November,November:1,,-0.23,1.54,New South Wales,Western Sydney
-35_-55,-35,-55,1,0,0,1,0.0,7.0,400.0,27.0,July,July:1,,-0.03,4.61,Maldonado, Maldonado provinces
-35_-56,-35,-56,3,0,1,3,0.0,56.0,0.0,47.33,July,May:1;July:2,0.0,0.59,14.33,Canelones," Canelones, Canelones, Montevideo province"
-37_-61,-37,-61,2,0,0,1,0.0,115.0,300.0,0.0,January,January:1;June:1,,0.55,13.68,Buenos Aires,Buenos Aires
-37_144,-37,144,1,1,1,1,0.0,139.0,0.0,5.0,January,January:1,,0.37,10.97,Victoria, Victoria provinces
-38_-58,-38,-58,1,0,0,1,0.0,5.0,0.0,27.0,July,July:1,,-0.07,3.98,Buenos Aires,Mar del Plata city 
-38_-71,-38,-71,1,0,1,1,0.0,0.0,25475.0,6.0,July,July:1,,-0.33,0.0,Araucania,Lonquimay
-39_-72,-39,-72,4,0,1,3,10000.0,7.0,35000.0,18.0,July,July:2;August:1,0.0,3.18,55.01,Araucania," Araucania,  Cunco,  Pucon"
-40_-63,-40,-63,1,0,0,1,0.0,14.0,3000.0,27.0,July,July:1,,0.06,6.01,Buenos Aires,Patagonia
-42_-73,-42,-73,1,0,0,1,10000.0,0.0,0.0,0.0,July,July:1,,2.44,43.31,Los Lagos, Los Lagos
-42_147,-42,147,1,0,1,1,0.0,347.0,2000.0,12.0,January,January:1,,0.5,12.99,Tasmania, Tasmania 
-44_170,-44,170,1,0,0,1,200000.0,0.0,0.0,117.0,January,January:1,,3.34,57.39,West Coast, Westland provinces
-45_-71,-45,-71,1,0,0,0,0.0,0.0,25000.0,27.0,September,September:1,,-0.33,0.0,Chubut, Alto Rio Surgen
-46_-73,-46,-73,1,0,1,1,0.0,42.0,0.0,27.0,July,July:1,,0.21,8.35,Aisen Del General Carlos Ibanez Del Campo,Aisen del Gral. Carlos Ibañez del Campo province
-9_-76,-9,-76,1,0,1,1,0.0,274.0,24262.0,119.0,May,May:1,,0.47,12.47,Huanuco, Huanuco provinces
12_13,12,13,1,0,0,1,0.0,60.0,0.0,27.0,June,June:1,,0.26,9.12,Borno,Maiduguri district 
14_-89,14,-89,1,0,0,1,0.0,6.0,0.0,22.0,November,November:1,,-0.05,4.32,La Libertad,La Libertad province
14_-91,14,-91,1,0,0,1,0.0,6.0,0.0,22.0,November,November:1,,-0.05,4.32,Escuintla, Escuintla
15_-90,15,-90,1,0,0,1,0.0,0.0,1850.0,27.0,November,November:1,,-0.33,0.0,Zacapa, Zacapa
15_-92,15,-92,1,0,1,1,0.0,0.0,2643.0,27.0,December,December:1,,-0.33,0.0,San Marcos, San Marcos
16_-92,16,-92,1,1,1,1,0.0,0.0,8141.0,88.0,November,November:1,,-0.33,0.0,Huehuetenango, Huehuetenango
16_80,16,80,3,2,3,3,0.0,579.0,0.0,38.33,April,January:1;April:2,0.0,0.92,19.48,Andhra Pradesh," Guntur districts , Andhra Pradesh"
17_102,17,102,1,1,1,1,0.0,63.0,1000000.0,27.0,January,January:1,,0.26,9.23,Loei,Loei
17_81,17,81,1,1,1,1,0.0,557.0,0.0,59.0,April,April:1,,0.57,14.04,Andhra Pradesh, Krishna
20_100,20,100,1,1,1,1,1600000.0,5.0,0.0,6.0,January,January:1,,4.21,71.15,Chiang Rai, Chiang Rai
21_-103,21,-103,1,0,0,0,4000.0,87.0,0.0,0.0,December,December:1,,2.8,48.94,Jalisco,Guadalajara
21_29,21,29,1,1,1,1,0.0,16.0,0.0,2.0,August,August:1,,0.08,6.29,Northern,Wadi Halfa district 
21_82,21,82,1,0,0,1,0.0,0.0,0.0,,Unknown,NA,,-0.33,0.0,Chhattisgarh, Chhattisgarh
21_84,21,84,1,0,0,1,0.0,47.0,0.0,27.0,May,May:1,,0.22,8.59,Odisha, Orissa
22_-102,22,-102,1,0,0,1,0.0,100.0,0.0,27.0,December,December:1,,0.33,10.24,Aguascalientes, Aguascalientes
22_90,22,90,1,0,0,1,0.0,0.0,0.0,27.0,July,July:1,,-0.33,0.0,Barisal,Barisal
23_114,23,114,1,0,0,1,0.0,39.0,0.0,1.0,July,July:1,,0.2,8.19,Guangdong,Guangzhou district
23_72,23,72,1,0,0,1,0.0,140.0,0.0,27.0,April,April:1,,0.37,10.98,Gujarat, Gujurat
23_89,23,89,1,0,0,1,0.0,120.0,34000.0,0.0,January,January:1,,0.35,10.64,Khulna,Jessore
23_90,23,90,1,0,1,1,0.0,50.0,100000.0,44.0,January,January:1,,0.23,8.73,Barisal, Nazirpur upazila 
23_92,23,92,2,0,1,2,0.0,61.0,2000.0,16.0,January,January:1;December:1,,0.46,12.29,Chittagong, Chittagong
24_118,24,118,1,1,1,1,1600000.0,5.0,0.0,6.0,January,January:1,,4.21,71.15,Fujian, Kinmen
24_78,24,78,2,0,0,2,400000.0,3751.0,0.0,11.5,May,May:2,,4.91,82.05,Madhya Pradesh, Madhya Pradesh
24_88,24,88,3,0,1,3,0.0,395.0,25.0,42.33,January,January:1;April:1;July:1,0.0,0.86,18.63,West Bengal," West Bengal,  West Bengal provinces"
24_90,24,90,4,1,2,4,0.0,389.0,175200.0,42.25,January,January:2;December:2,0.0,0.97,20.32,Dhaka," Dhaka,  Sirajganj,  Tangail"
25_-105,25,-105,1,0,0,1,0.0,6.0,0.0,22.0,November,November:1,,-0.05,4.32,Durango, Durango
25_101,25,101,1,0,1,1,0.0,16.0,0.0,4.0,February,February:1,,0.08,6.29,Yunnan,Yunnan Sheng province
25_67,25,67,1,0,0,0,0.0,32.0,0.0,0.0,June,June:1,,0.17,7.76,Sind,Karachi
25_68,25,68,1,0,0,0,0.0,523.0,250.0,14.0,June,June:1,,0.56,13.9,Sind, Hyderabad 
25_70,25,70,1,1,1,1,18000.0,139.0,0.0,119.0,January,January:1,,3.31,57.04,Sind,Mithi
25_89,25,89,2,0,0,1,400000.0,1243.0,0.0,11.5,January,January:1;May:1,,4.75,79.6,Rajshahi," Level 1 = Rajshahi,  Rajshahi provinces"
26_-1,26,-1,1,0,0,1,0.0,40.0,0.0,30.0,June,June:1,,0.2,8.24,Adrar,Adrar 
26_69,26,69,3,0,0,3,0.0,303.0,324.0,23.0,May,May:2;June:1,0.0,0.83,18.05,Sind," Sindh,  Sindh provinces"
26_86,26,86,9,0,0,1,144000.0,1387.0,0.0,12.0,December,January:2;April:1;May:1;June:1;December:4,-0.1204,5.06,84.35,Bihar," Bihar, Bihar, Bihar state"
26_88,26,88,1,0,1,1,0.0,135.0,50000.0,47.0,December,December:1,,0.37,10.9,Rangpur, Haripur
26_89,26,89,4,0,0,2,0.0,1026.0,52000.0,31.25,January,January:2;December:2,0.0,1.11,22.47,Rangpur," Dinajpur,  Nilphamari,  Nilphamari districts ,  Rangpur provinces"
26_90,26,90,1,0,0,1,0.0,100.0,1000.0,58.0,December,December:1,,0.33,10.24,Rangpur, Kurigram districts 
27_74,27,74,6,0,0,1,0.0,1051.0,1000.0,35.0,May,May:3;June:1;July:1;December:1,0.0,1.28,25.13,Rajasthan," Rajasthan, Rajasthan"
27_81,27,81,5,0,0,4,0.0,1390.0,0.0,30.8,January,January:2;April:1;May:1;December:1,0.0739,1.24,24.56,Uttar Pradesh," Uttar Pradesh, Uttar Pradesh"
27_85,27,85,1,0,0,1,0.0,60.0,200.0,27.0,December,December:1,,0.26,9.12,Central, Parsa
27_86,27,86,1,0,1,1,123.0,42.0,0.0,8.0,January,January:1,,1.65,31.01,Central, Mahottari
27_87,27,87,2,1,2,2,0.0,179.0,50000.0,42.0,January,January:1;December:1,,0.61,14.66,East,"SAptari, Saptari "
27_88,27,88,1,0,1,1,0.0,0.0,25000.0,58.0,December,December:1,,-0.33,0.0,East, Ilam
28_-16,28,-16,1,0,0,1,0.0,26.0,0.0,4.0,July,July:1,,0.14,7.31,Islas Canarias,Canarias province
28_112,28,112,1,0,1,1,21100000.0,129.0,77000000.0,26.0,January,January:1,,5.42,90.1,Hunan, Hunan Sheng
28_71,28,71,1,0,0,1,0.0,0.0,0.0,27.0,January,January:1,,-0.33,0.0,Punjab, Rahim Yar Khan District districts 
28_84,28,84,1,1,1,1,0.0,72.0,75000.0,89.0,December,December:1,,0.28,9.52,West, Western provinces
29_-106,29,-106,6,0,0,4,0.0,399.0,0.0,13.5,January,January:2;October:1;November:1;December:2,0.0,1.14,22.98,Chihuahua,"Chihuahua, Chihuahua State, Chihuahua province"
29_76,29,76,2,0,1,2,0.0,403.0,200.0,66.0,March,March:1;December:1,,0.72,16.45,Haryana, Haryana
29_77,29,77,4,2,2,3,0.0,3278.0,0.0,18.75,December,January:1;May:1;December:2,0.0,1.27,25.05,NCT Of Delhi," Delhi provinces,  West, Delhi, New Delhi"
29_78,29,78,1,1,1,1,0.0,16.0,0.0,2.0,December,December:1,,0.08,6.29,Uttar Pradesh,Muzaffarnagar district 
29_82,29,82,2,0,0,1,0.0,153.0,200.0,44.0,December,December:1,,0.59,14.31,Mid-Western," Mid Western, Nepalguni"
30_-111,30,-111,2,0,1,2,500000.0,24.0,120000.0,17.0,February,February:1;December:1,,4.27,71.98,Sonora, Sonora
30_27,30,27,1,1,1,1,0.0,110.0,66.0,0.0,August,August:1,,0.34,10.45,Matrouh, Marsa Matruh district 
30_31,30,31,1,0,0,1,0.0,3.0,105.0,27.0,January,January:1,,-0.13,3.08,Al Qalyubiyah,Kalyoubia
30_94,30,94,1,0,0,0,0.0,0.0,2000.0,27.0,September,September:1,,-0.33,0.0,Xizang,Tibet
31_-6,31,-6,1,1,1,1,0.0,0.0,70000.0,4.0,January,January:1,,-0.33,0.0,Souss-Massa-Draa, Ouarzazate
31_-99,31,-99,1,0,0,1,4275000.0,130.0,0.0,80.0,May,May:1,,4.94,82.61,Texas, Texas
31_103,31,103,1,0,1,1,281000.0,2.0,4033472.0,23.0,January,January:1,,3.59,61.43,Sichuan,Sichuan Sheng
31_121,31,121,2,1,1,2,0.0,40.0,200.0,36.0,July,July:2,,0.4,11.38,Shanghai,"Shanghai Shi province, Shanghai city "
31_72,31,72,5,1,1,4,400000.0,2533.0,80000.0,22.0,June,May:1;June:2;July:1;December:1,0.0,5.2,86.54,Punjab," Punjab,  Punjab provinces, Punjab, Punjab province"
31_75,31,75,4,0,3,3,0.0,629.0,0.0,32.25,December,January:1;December:3,0.0,1.04,21.39,Punjab, Punjab
31_77,31,77,1,0,1,1,0.0,80.0,0.0,17.0,January,January:1,,0.3,9.75,Himachal Pradesh, Sundernagar city 
32_35,32,35,1,0,0,1,0.0,0.0,0.0,27.0,July,July:1,,-0.33,0.0,Tel Aviv, Tel Aviv provinces
32_36,32,36,1,0,0,1,0.0,0.0,12.0,27.0,July,July:1,,-0.33,0.0,Amman,Amman province
32_77,32,77,1,1,1,1,0.0,140.0,0.0,1.0,December,December:1,,0.37,10.98,Himachal Pradesh,Himachal Pradesh
32_88,32,88,1,0,1,1,20200.0,0.0,50650.0,2.0,February,February:1,,2.65,46.61,Xizang,Xizang Zizhiqu province
33_-3,33,-3,1,0,1,1,0.0,0.0,7500.0,27.0,February,February:1,,-0.33,0.0,Oriental,Figuig district 
33_-7,33,-7,1,0,0,1,809.0,0.0,0.0,27.0,August,August:1,,1.68,31.49,Chaouia-Ouardigha,Settat district 
33_-83,33,-83,1,0,0,0,1750000.0,48.0,0.0,58.0,July,July:1,,4.54,76.23,Georgia, Georgia
33_-87,33,-87,1,0,0,1,0.0,35.0,0.0,27.0,July,July:1,,0.18,7.95,Alabama, Alabama provinces
33_62,33,62,1,0,1,1,0.0,1317.0,170684.0,41.0,January,January:1,,0.69,15.94,Farah, Farah provinces
34_-112,34,-112,2,0,0,2,0.0,47.0,31.0,26.5,June,June:1;July:1,,0.42,11.73,Arizona,"Arizona, Arizona province"
34_-4,34,-4,2,2,2,2,0.0,0.0,1500000.0,0.0,February,February:2,,-0.13,3.13,Taza-Al Hoceima-Taounate," Guercif ,  Guercif cities "
34_134,34,134,1,1,1,1,0.0,27.0,17000.0,15.0,July,July:1,,0.15,7.4,Tokushima, Tokusima
34_4,34,4,1,1,1,1,0.0,0.0,125000.0,4.0,January,January:1,,-0.33,0.0,Djelfa, Djelfa
34_75,34,75,1,0,1,1,0.0,135.0,50000.0,47.0,December,December:1,,0.37,10.9,Jammu And Kashmir,Srinagar city 
34_77,34,77,3,1,1,3,0.0,137.0,25.0,21.67,January,January:1;March:1;December:1,,0.71,16.29,Jammu And Kashmir," Jammu and Kashmir, Jammu and Kashmir province"
