grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
42_-72,42,-72,2,0,1,1,12600.0,2.0,5000.0,1.0,August,August:1;October:1,,-0.14,17.66,Rhode Island,"Rhode Island, Rhonde Island"
42_-73,42,-73,2,0,1,1,3000000.0,29.0,0.0,1.0,July,July:1;October:1,,0.37,35.05,Connecticut,Connecticut
42_-76,42,-76,1,0,0,1,0.0,1.0,47.0,2.0,May,May:1,,-0.54,3.94,New York,Broome
42_-78,42,-78,1,1,1,1,2100000.0,27.0,170150.0,11.0,May,May:1,,0.23,30.38,Texas,Amarillo
42_-86,42,-86,1,0,0,0,30000.0,7.0,470.0,0.0,May,May:1,,-0.07,19.92,Michigan,Kalamazoo
42_-88,42,-88,1,1,1,1,950000.0,4.0,40.0,2.0,August,August:1,,-0.07,19.96,Illinois,DuPage district
42_-89,42,-89,1,1,1,1,1400000.0,3.0,12.0,3.0,April,April:1,,-0.1,19.0,Illinois,Rochelle
42_-92,42,-92,2,0,1,1,2061000.0,7.0,70.0,2.0,May,May:1;June:1,,0.14,27.24,Iowa,"Dunkerton, Northern Iowa"
42_-94,42,-94,8,1,3,6,5962500.0,39.0,320.0,1.62,May,January:1;April:1;May:2;June:1;July:2;December:1,0.1139,0.75,48.06,Iowa,Iowa
42_13,42,13,1,0,0,0,0.0,22.0,0.0,0.0,November,November:1,,-0.13,17.83,Lazio,Lazio
42_130,42,130,1,1,1,1,79900.0,0.0,0.0,1.0,August,August:1,,-0.4,8.86,Hamgyong-Bukto, South Hamgyong provinces
42_14,42,14,1,0,1,1,3200000.0,11.0,0.0,3.0,January,January:1,,0.1,25.9,Abruzzo,South
42_2,42,2,1,0,1,1,3200000.0,11.0,0.0,3.0,January,January:1,,0.1,25.9,Cataluna,Catalogne
42_20,42,20,1,0,0,1,0.0,6.0,125000.0,0.0,January,January:1,,-0.33,11.07,Diber,Diber
42_25,42,25,2,0,0,1,0.0,2.0,405000.0,18.0,January,January:1;March:1,,-0.35,10.25,Kardzhali,"Kardjali, Plovdiv"
42_3,42,3,1,0,0,1,0.0,7.0,0.0,0.0,December,December:1,,-0.31,11.83,Cataluna,Gerone
42_42,42,42,1,1,1,1,0.0,0.0,1750.0,0.0,March,March:1,,-0.65,0.0,Ajaria,Ajara region
42_46,42,46,1,0,1,1,91000.0,0.0,6018.0,0.0,July,July:1,,-0.39,8.97,Kakheti,Kakheti
42_9,42,9,1,1,1,1,0.0,0.0,0.0,0.0,October,October:1,,-0.65,0.0,Corse,Corse
43_-1,43,-1,1,1,1,1,0.0,3.0,0.0,0.0,January,January:1,,-0.42,7.88,Nouvelle-Aquitaine,Pays Basque
43_-122,43,-122,1,0,0,0,0.0,0.0,0.0,0.0,September,September:1,,-0.65,0.0,Oregon,Klamath Falls 
43_-2,43,-2,2,1,1,1,208000.0,6.0,30.0,0.5,January,January:1;August:1,,0.07,24.68,Comunidad Foral De Navarra," Deba, Navarra"
43_-6,43,-6,2,0,0,1,55000.0,7.0,2.0,13.5,August,August:1;December:1,,0.06,24.4,Castilla Y Leon,"Asturias, Leon province"
43_-71,43,-71,1,0,0,1,0.0,2.0,100.0,0.0,March,March:1,,-0.47,6.25,New Jersey,Peabody
43_-76,43,-76,4,1,1,1,2335000.0,9.0,14000.0,0.5,February,February:1;March:1;July:1;September:1,0.0,0.33,33.65,New York," New York, Carolines, New York"
43_-79,43,-79,2,0,0,1,300000.0,3.0,0.0,1.0,January,January:1;October:1,,-0.02,21.79,Ohio,"Erie, Niagara Peninsula"
43_-8,43,-8,2,2,2,2,0.0,4.0,0.0,1.0,January,January:1;December:1,,-0.27,13.15,Galicia,Galicia
43_-81,43,-81,1,0,0,1,100.0,7.0,0.0,3.0,January,January:1,,-0.2,15.45,Ontario,Southern Ontario
43_0,43,0,1,0,0,1,0.0,1.0,900.0,2.0,May,May:1,,-0.54,3.94,Nouvelle-Aquitaine,Pau
43_10,43,10,1,1,1,1,216000.0,9.0,1000.0,1.0,September,September:1,,0.01,22.74,Toscana, Rosignano
43_132,43,132,1,0,0,1,0.0,8.0,0.0,0.0,March,March:1,,-0.29,12.5,Primor'ye,Artyom
43_143,43,143,4,2,2,3,140200.0,34.0,65359.0,10.5,February,February:1;August:1;October:1;November:1,0.0,0.47,38.56,Hokkaido,"Hokkaido, Hokkaido Isl., Hokkaido Island, Hokkaidoo province "
43_18,43,18,1,0,0,1,0.0,0.0,1090.0,0.0,December,December:1,,-0.65,0.0,Federacija Bosna I Hercegovina,Citluk
43_2,43,2,1,0,1,1,3200000.0,11.0,0.0,3.0,January,January:1,,0.1,25.9,Occitanie,Aude
43_21,43,21,1,0,0,1,0.0,2.0,400000.0,36.0,January,January:1,,-0.47,6.25,Raski, Raska
43_24,43,24,1,1,1,1,545000.0,1.0,40.0,0.0,July,July:1,,-0.24,14.31,Sofia,Sofia
43_45,43,45,1,0,0,1,0.0,0.0,900.0,27.0,February,February:1,,-0.65,0.0,Mtskheta-Mtianeti, Gudauri
43_6,43,6,1,0,0,1,0.0,1.0,250.0,0.0,November,November:1,,-0.54,3.94,Provence-Alpes-Cote D'Azur,Var
44_-121,44,-121,6,1,1,4,2245000.0,59.0,46168.0,3.33,December,January:2;March:1;December:3,-0.3441,0.72,47.12,Oregon," Oregon states, Orego, Oregon"
44_-72,44,-72,7,2,4,4,2040000.0,40.0,1500.0,3.29,March,January:1;March:2;October:2;December:2,0.0,0.7,46.2,New Hampshire,"New England, New Halpshire, New Hampshire"
44_-79,44,-79,1,1,1,1,1410000.0,0.0,0.0,1.0,July,July:1,,-0.33,11.12,Ontario,Toronto
44_-82,44,-82,1,0,1,1,0.0,1.0,20.0,3.0,August,August:1,,-0.54,3.94,Ontario,Goderich
44_126,44,126,2,1,1,1,302000.0,102.0,46000.0,0.0,June,June:1,,0.52,40.27,Jilin," Jilin Sheng,  Jiling"
44_15,44,15,1,1,1,1,216000.0,9.0,1000.0,1.0,September,September:1,,0.01,22.74,Zadarska, Bibinje
44_28,44,28,3,0,0,2,0.0,4.0,400000.0,12.0,January,January:1;November:1;December:1,0.0,-0.19,15.99,Dobrich,"Constanta, Dobricht, North-East"
44_29,44,29,1,0,1,1,500000.0,4.0,0.0,2.0,February,February:1,,-0.09,19.46,Constanta,Mangalia
44_3,44,3,1,1,1,1,182000.0,6.0,0.0,0.0,September,September:1,,-0.05,20.58,Occitanie,Aveyron
44_39,44,39,1,0,0,0,24000.0,41.0,0.0,1.0,August,August:1,,0.2,29.18,Krasnodar,Sochi-Tuapse
44_42,44,42,1,0,0,1,0.0,0.0,6000.0,0.0,June,June:1,,-0.65,0.0,Karachay-Cherkess,Karatchaievo-Tcherkessie
