grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
39_21,39,21,4,0,1,2,0.0,2.0,3759.0,June,June:2;August:1,0.0,0.09,19.95,Epirus And Western Macedonia,"Kanalaki, Lefkada, Leucade Island, Preveza region"
39_23,39,23,2,0,0,0,9000.0,2.0,11067.0,February,February:1;July:1,,0.08,19.46,Thessaly And Central Greece,"Eurytania, Volos"
39_25,39,25,1,0,0,1,0.0,0.0,300.0,July,July:1,,-0.51,0.0,Thessaly And Central Greece,Skyros
39_29,39,29,2,0,1,1,299600.0,1089.0,93569.0,March,March:1;May:1,,0.98,49.36,Kutahya,"Gediz, Simav"
39_31,39,31,1,0,0,1,95000.0,42.0,252327.0,February,February:1,,0.31,27.02,Afyon,Bolvadin
39_36,39,36,1,0,0,1,0.0,2.0,690.0,December,December:1,,-0.36,5.01,Kayseri,Kayseri
39_40,39,40,3,0,1,2,0.0,52.0,3602.0,January,January:1;March:1,0.0,0.38,29.4,Tunceli,"Basyurt, Pulumur"
39_41,39,41,5,0,0,3,160000.0,3449.0,491307.0,May,March:1;May:2;June:1;August:1,0.1471,1.47,65.38,Bingol,"Bingol, Bingol province, Karliova, Varto"
39_42,39,42,2,0,1,1,1500000.0,618.0,32938.0,July,July:1;October:1,,0.95,48.17,Bitlis,"Bitlis, Mus province"
39_44,39,44,2,0,0,0,25000.0,3843.0,216009.0,May,May:1;November:1,,1.09,52.97,Van,"Chaldoran, Muradiye"
39_45,39,45,1,0,0,0,1000.0,38.0,5100.0,April,April:1,,0.17,22.66,West Azarbaijan,Maku
39_47,39,47,1,0,1,1,500000.0,306.0,61546.0,August,August:1,,0.62,37.42,East Azarbaijan,Ahar
39_68,39,68,1,0,0,1,0.0,0.0,180.0,April,April:1,,-0.51,0.0,Leninabad,Pedzhikent
39_69,39,69,1,0,0,0,24800.0,274.0,12051.0,January,January:1,,0.53,34.33,Tadzhikistan Territories,Hisor
39_70,39,70,3,1,2,3,0.0,5.0,3736.0,January,January:1;May:1;July:1,0.0,0.08,19.47,Tadzhikistan Territories,"Garmskiy district, Nurobod, Roghun"
3_-73,3,-73,1,0,1,1,10000.0,11.0,1754.0,May,May:1,,0.07,19.26,Meta,Meta
3_-75,3,-75,1,0,0,0,600.0,61.0,40200.0,February,February:1,,0.23,24.33,Huila,Neiva
3_-76,3,-76,1,0,0,0,2400.0,271.0,37416.0,June,June:1,,0.47,32.27,Huila,Huila
3_-77,3,-77,1,0,0,0,0.0,2.0,867.0,November,November:1,,-0.36,5.01,Valle Del Cauca,Cali
3_126,3,126,1,0,1,1,9000.0,0.0,3049.0,February,February:1,,-0.27,7.84,Sulawesi Utara,Kepulauan Talaud
3_31,3,31,1,0,0,0,0.0,0.0,2000.0,August,August:1,,-0.51,0.0,Arua,Arua
3_96,3,96,2,0,1,2,0.0,10.0,167.0,April,April:1;November:1,,0.02,17.54,Aceh,"Simeulue, Simeulue Island"
3_98,3,98,1,0,0,0,2100.0,1.0,2172.0,November,November:1,,-0.22,9.75,Aceh,Kutacane
40_-116,40,-116,2,0,1,1,14600.0,0.0,855.0,January,January:1;December:1,,-0.06,14.87,Nevada,Eureka
40_-79,40,-79,1,0,0,1,200000.0,2.0,160.0,December,December:1,,-0.04,15.52,Pennsylvania,Cambria
40_116,40,116,9,1,1,4,6059500.0,242080.0,1604501.0,March,January:1;February:1;March:2;July:1;October:2;November:1,0.0577,2.4,96.22,Hebei,"Hebei, Hebei province, Hopeh, Pek, Sanjianfang, Tian Zhu, Yutian, Zangbei"
40_140,40,140,2,0,1,2,233000.0,1.0,2398.0,March,March:1;May:1,,0.11,20.42,Akita,Akita
40_141,40,141,1,0,1,1,110000.0,1.0,470.0,July,July:1,,-0.11,13.16,Aomori,Hachinohe
40_21,40,21,3,0,0,1,450000.0,26.0,17160.0,May,May:2;August:1,0.0,0.62,37.54,Epirus And Western Macedonia,"Grevena-Kozani, Konitsa, Michalitsi"
40_25,40,25,2,1,1,1,450600.0,22.0,82620.0,February,February:1;May:1,,0.46,32.12,Aegean,"Agios Efstratios, Limnos"
40_29,40,29,2,0,0,1,5000.0,29.0,13522.0,September,September:1;October:1,,0.38,29.46,Bursa,"Bursa, Bursa & Balikesir"
