grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-2_-78,-2,-78,1,0,0,1,150000.0,5.0,300013.0,34.0,July,July:1,,4.08,58.79,Chimborazo, Penipe districts 
-2_-79,-2,-79,2,0,1,2,0.0,0.0,26700.0,13.5,May,May:1;September:1,,0.2,2.89,Chimborazo," Chimborazo,  Riobamba "
-2_29,-2,29,2,0,0,1,9000.0,347.0,170400.0,2.0,January,January:2,,4.56,65.85,Nord-Kivu,"Goma district , Near Goma"
-38_-71,-38,-71,1,0,0,0,0.0,0.0,2000.0,27.0,December,December:1,,0.0,0.0,Araucania,Lonquimay
-39_-72,-39,-72,2,1,1,1,0.0,4.0,5600.0,13.5,March,March:2,,0.65,9.36,Araucania,"Vallarica, Villarica"
-3_28,-3,28,1,0,0,1,0.0,0.0,0.0,0.0,February,February:1,,0.0,0.0,Sud-Kivu, Sud-Kivu provinces
-41_-72,-41,-72,1,0,1,1,104000.0,0.0,3000.0,13.0,June,June:1,,3.47,49.99,Los Rios, Rio Bueno towns 
-41_-73,-41,-73,1,1,1,1,0.0,0.0,0.0,0.0,April,April:1,,0.0,0.0,Los Lagos,Llanquihue district
-42_-72,-42,-72,3,1,3,3,104000.0,0.0,3000.0,4.33,April,April:1;May:1;June:1,0.0,3.81,54.92,Rio Negro," Bariloche district , Bariloche district, Bariloche district "
-43_-72,-43,-72,1,0,1,1,0.0,0.0,0.0,0.0,May,May:1,,0.0,0.0,Los Lagos, Futaleufu towns 
-49_-70,-49,-70,1,0,0,0,0.0,0.0,63200.0,0.0,August,August:1,,0.0,0.0,Santa Cruz,Santa Cruz
-4_145,-4,145,4,0,0,1,0.0,4.0,13129.0,14.5,October,March:1;October:2;December:1,0.0,0.9,13.0,Madang,"Bogia district , Manam, Manam Isl."
-4_152,-4,152,2,0,0,1,0.0,0.0,1521.0,0.0,October,October:2,,0.2,2.89,East New Britain," Rabaul districts , Rabaul Town"
-5_130,-5,130,1,0,0,0,0.0,1.0,3012.0,0.0,January,January:1,,0.19,2.79,Maluku,Maluku Province
-5_152,-5,152,2,0,0,1,110000.0,5.0,167002.0,4.0,June,June:1;September:1,,4.18,60.33,East New Britain," West New Britain province, Eastern New Britain"
-6_-77,-6,-77,1,0,0,0,0.0,0.0,4000.0,0.0,June,June:1,,0.0,0.0,San Martin,Moyoyamba
-6_106,-6,106,1,1,1,1,250000.0,453.0,47778.0,0.0,December,December:1,,5.44,78.42,Banten, Serang districts 
-6_146,-6,146,1,1,1,1,0.0,0.0,736.0,1.0,January,January:1,,0.0,0.0,Eastern Highlands, Taragauo
-6_150,-6,150,2,0,0,2,0.0,0.0,15078.0,0.0,July,July:2,,0.2,2.89,West New Britain," Sulu, Kimbe district "
