grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
37_71,37,71,7,2,4,5,0.0,574.0,1330.0,0.0,March,January:1;February:2;March:3;June:1,0.2348,1.55,41.35,Badakhshan," Badakhstan province, Badakhshan province, Daraim district, Raghestan district , Shaki district , Yamgan district"
38_-25,38,-25,1,0,0,0,16300.0,29.0,55.0,4.0,October,October:1,,2.87,62.23,Azores,Ribeira Quente Village
38_110,38,110,1,0,1,1,0.0,28.0,135.0,0.0,March,March:1,,-0.05,16.2,Shaanxi,Shuanghuyu village 
38_111,38,111,1,0,1,1,0.0,19.0,0.0,0.0,June,June:1,,-0.16,14.41,Shanxi,Luliang district 
38_112,38,112,1,0,0,1,0.0,11.0,0.0,27.0,July,July:1,,-0.32,11.95,Shanxi,Shanxi Sheng province
38_127,38,127,1,0,1,1,0.0,59.0,2026.0,1.0,July,July:1,,0.17,19.7,Gyeonggi-Do, Dongducheon area 
38_128,38,128,1,0,0,0,108700.0,11.0,1688.0,0.0,August,August:1,,3.16,66.8,Gangwon-Do,Kangwon-Don
38_15,38,15,1,0,1,1,0.0,3.0,1.0,0.0,November,November:1,,-0.65,6.67,Sicily,Saponara town 
38_43,38,43,1,1,1,1,0.0,7.0,0.0,0.0,January,January:1,,-0.44,10.0,Sirnak,Sirnak province
38_69,38,69,1,0,0,1,0.0,1.0,13000.0,14.0,April,April:1,,-0.86,3.33,Khatlon, Dangara districts 
38_70,38,70,1,0,0,1,0.0,0.0,181.0,0.0,February,February:1,,-1.08,0.0,Khatlon,Chorvodor village 
38_71,38,71,2,2,2,2,0.0,125.0,500.0,2.5,February,February:1;April:1,,0.6,26.42,Badakhshan,"Dawaz Bala , Geriy Bala village "
39_-81,39,-81,1,0,0,0,0.0,400.0,0.0,,Unknown,NA,,0.75,28.84,West Virginia,West Virginia
39_140,39,140,1,0,0,0,0.0,17.0,0.0,0.0,April,April:1,,-0.19,13.9,Yamagata,Okuura
39_36,39,36,1,0,0,0,0.0,40.0,0.0,0.0,March,March:1,,0.06,17.87,Kayseri,Kayseri province
39_69,39,69,3,0,0,2,600.0,62.0,893.0,2.33,January,January:1;May:1;November:1,0.0,2.45,55.58,Tadzhikistan Territories," Faysabadskiy, Col D'Ansob, Varzob district "
39_70,39,70,4,1,1,3,149000.0,42.0,77310.0,0.25,February,February:2;April:1;May:1,0.0,4.1,81.55,Tadzhikistan Territories," Tadzhikistan Territories province, Degdonak , Dzhamiat Rokhaty, Kofarnikhon district"
3_102,3,102,2,0,1,1,0.0,36.0,29.0,0.0,May,May:1;June:1,,0.23,20.52,Kuala Lumpur,"Near Kuala Lumpur, Ulu Langat district "
3_35,3,35,2,0,2,2,0.0,20.0,20.0,0.0,April,April:1;November:1,,0.05,17.8,Turkana, Rift Valley province
3_99,3,99,1,1,1,1,0.0,15.0,0.0,0.0,May,May:1,,-0.23,13.34,Sumatera Utara,Sibolangit 
40_38,40,38,1,0,0,1,0.0,15.0,9.0,0.0,March,March:1,,-0.23,13.34,Sivas,Koyulhisar district
40_39,40,39,1,0,1,1,0.0,11.0,6.0,0.0,January,January:1,,-0.32,11.95,Gumushane,Zigana area 
40_45,40,45,1,1,1,1,0.0,0.0,750.0,0.0,June,June:1,,-1.08,0.0,Gegharkunik,Karchaghbyur city 
40_46,40,46,1,0,0,1,0.0,11.0,0.0,27.0,December,December:1,,-0.32,11.95,Ganja-Qazakh,Dashkesan city 
40_69,40,69,4,1,1,3,65100.0,273.0,6000.0,6.0,January,January:1;April:1;May:1;December:1,0.0,4.41,86.55,Leninabad,"Kandak, Leninskiy district, Sogd"
40_72,40,72,1,0,0,1,0.0,33.0,96.0,0.0,April,April:1,,0.0,16.96,Osh,Alay district 
40_73,40,73,3,0,0,2,37500.0,116.0,59502.0,0.0,April,April:2;May:1,0.0,3.88,78.11,Osh," Zhangi-Savai villages , Kara-Sogot village , Osh"
41_125,41,125,1,0,0,1,0.0,34.0,308.0,0.0,August,August:1,,0.01,17.1,Liaoning,Benxi Shi area
41_14,41,14,1,0,0,1,0.0,4.0,159.0,0.0,April,April:1,,-0.58,7.74,Campania,Ischia town 
41_15,41,15,1,0,0,1,28700.0,160.0,3682.0,6.0,May,May:1,,3.55,72.99,Campania,Campania Region
41_27,41,27,1,1,1,1,0.0,24.0,100.0,0.0,July,July:1,,-0.09,15.49,Tekirdag,Sarilar village 
41_29,41,29,1,0,0,0,26000.0,74.0,12046.0,3.0,July,July:1,,3.29,68.85,Istanbul, Istanbul
41_38,41,38,1,0,0,0,0.0,40.0,0.0,0.0,September,September:1,,0.06,17.87,Ordu,Ordu province
41_40,41,40,2,0,1,1,0.0,68.0,620.0,0.5,June,June:1;November:1,,0.42,23.52,Trabzon," Trabzon province, Trabzon province"
41_41,41,41,2,0,1,2,0.0,22.0,806.0,0.0,August,August:1;November:1,,0.08,18.24,Rize," Ardesen districts ,  Rize province"
41_73,41,73,1,0,1,1,0.0,0.0,8350.0,0.0,June,June:1,,-1.08,0.0,Jalal-Abad,Suzak
41_74,41,74,3,1,1,2,0.0,113.0,266.0,0.0,April,March:1;April:2,0.0,0.71,28.17,Osh,"Ozgon district, Usgen , Uzgen - Osh region"
42_0,42,0,1,0,0,0,20000.0,84.0,129.0,2.0,August,August:1,,3.25,68.21,Aragon,Near Biesca 
42_23,42,23,1,0,0,0,0.0,11.0,0.0,0.0,December,December:1,,-0.32,11.95,Kyustendil,Rila mountains
42_79,42,79,1,0,0,1,0.0,11.0,2.0,0.0,August,August:1,,-0.32,11.95,Ysyk-Kol,Ak-Suu district
43_44,43,44,3,0,0,3,0.0,149.0,508.0,0.0,January,January:1;July:1;September:1,,0.79,29.49,North Ossetia,"Severnaya Osetiya-alaniya Rep. Province, Tymauz village "
43_45,43,45,1,0,0,0,0.0,17.0,0.0,0.0,September,September:1,,-0.19,13.9,Ingush,Nazran Region
43_47,43,47,1,0,0,0,2600.0,0.0,1750.0,0.0,November,November:1,,1.28,37.19,Dagestan,Dagestan
44_13,44,13,1,0,0,0,700000.0,0.0,4000.0,0.0,December,December:1,,2.96,63.65,Marche,Ancona
44_18,44,18,1,0,0,1,0.0,6.0,403.0,0.0,February,February:1,,-0.48,9.36,Federacija Bosna I Hercegovina,Zenicko-dobojski district
44_77,44,77,1,0,0,1,0.0,48.0,0.0,0.0,March,March:1,,0.11,18.72,Almaty,Talgar district 
44_81,44,81,1,0,1,1,0.0,12.0,0.0,0.0,March,March:1,,-0.29,12.34,Xinjiang Uygur,Huocheng area 
45_85,45,85,1,1,1,1,0.0,35.0,0.0,0.0,July,July:1,,0.02,17.24,Xinjiang Uygur,Kunlun mountain 
46_10,46,10,3,0,0,0,625000.0,57.0,6189.0,0.0,July,May:1;July:2,,4.51,88.04,Lombardia,"Lombardy province, Tartano, Valtellina"
46_12,46,12,1,0,0,0,0.0,1917.0,0.0,0.0,October,October:1,,1.23,36.36,Veneto, Longarone 
46_132,46,132,1,0,1,1,0.0,23.0,0.0,0.0,July,July:1,,-0.11,15.29,Heilongjiang,Jixi district 
46_5,46,5,1,0,0,0,0.0,13.0,0.0,0.0,March,March:1,,-0.27,12.7,Auvergne-Rhone-Alpes,French Alps
46_6,46,6,11,0,0,1,0.0,214.0,100.0,7.55,April,January:2;February:3;April:4;July:1;December:1,-0.2915,1.45,39.77,Auvergne-Rhone-Alpes," St Gervais ,  Val d'Isere, Alps, Chamonix, Mont Blanc, Val d'Isere"
46_8,46,8,3,0,0,2,1015000.0,136.0,1500.0,0.0,February,February:1;August:1;October:1,0.0,4.92,94.47,Valais,"Evolene , Saas-Fee, Valais Province"
46_9,46,9,1,0,0,0,0.0,12.0,0.0,0.0,September,September:1,,-0.29,12.34,Lombardia,Loveno
47_10,47,10,2,0,0,2,41570.0,53.0,10050.0,0.0,February,February:1;August:1,,3.53,72.64,Appenzell Ausserrhoden,"Galtuer, Lutzenberg "
47_12,47,12,1,0,0,0,0.0,0.0,100.0,0.0,August,August:1,,-1.08,0.0,Veneto,Cortina D'ampezzo
47_13,47,13,2,0,0,1,0.0,25.0,0.0,13.5,February,February:1;March:1,,0.12,18.83,Salzburg,"Near Salzburg, Zell am See"
47_9,47,9,1,0,0,1,180000.0,1.0,231.0,0.0,November,November:1,,2.77,60.56,Uri, Uri
48_-122,48,-122,1,1,1,1,20000.0,43.0,150.0,0.0,March,March:1,,3.05,65.04,Washington,Snohomish district
