,grid_id,latitude,longitude
1013,"(77, 8)",-13.64930364,-172.2546075
1014,"(77, 9)",-13.8860297,-171.9614923
1015,"(77, 9)",-13.8860297,-171.9614923
1016,"(77, 9)",-13.8860297,-171.9614923
1017,"(77, 9)",-13.8860297,-171.9614923
1018,"(77, 9)",-13.97516481,-171.6060339
1019,"(77, 9)",-13.8860297,-171.9614923
1020,"(77, 105)",-13.31690939,-75.94096508
1021,"(77, 105)",-13.31690939,-75.94096508
1022,"(77, 106)",-13.49307582,-74.43647861
1023,"(77, 106)",-13.4920062,-74.43884668
1024,"(77, 106)",-13.04635314,-74.6259983
1025,"(77, 106)",-13.21245249,-74.24173902
1026,"(77, 108)",-13.19175307,-72.15262351
1027,"(77, 108)",-13.19106821,-72.15360886
1028,"(77, 108)",-13.19175307,-72.15262351
1029,"(77, 108)",-13.19175307,-72.15262351
1030,"(77, 108)",-13.24459539,-72.7376412
1031,"(77, 108)",-13.25724272,-72.2925526
1032,"(77, 108)",-13.19175307,-72.15262351
1033,"(77, 108)",-13.19175307,-72.15262351
1034,"(77, 108)",-13.19106821,-72.15360886
1035,"(77, 109)",-13.88435959,-71.91617313
1036,"(77, 110)",-13.79283284,-70.18116707
1037,"(77, 114)",-13.91687892,-66.89304527
1038,"(77, 115)",-13.85661153,-65.15384977
1039,"(77, 115)",-13.85661153,-65.15384977
1040,"(77, 115)",-13.85661153,-65.15384977
1041,"(77, 115)",-13.85680905,-65.15419992
1042,"(77, 115)",-13.85680905,-65.15419992
1043,"(77, 115)",-13.85661153,-65.15384977
1044,"(77, 195)",-13.12213196,14.73392087
1045,"(77, 203)",-13.2238895,22.44308201
1046,"(77, 206)",-13.03297593,25.05691674
1047,"(77, 212)",-13.60036646,31.88283639
1048,"(77, 215)",-13.70485052,34.43057514
1049,"(77, 215)",-13.73976438,34.35801008
1050,"(77, 215)",-13.73976438,34.35801008
1051,"(77, 229)",-13.86935999,48.46619654
1052,"(77, 229)",-13.86935999,48.46619654
1053,"(77, 229)",-13.86935999,48.46619654
1054,"(77, 229)",-13.3315557,48.26770064
1055,"(77, 230)",-13.48144882,49.07720652
1056,"(77, 348)",-13.90983564,167.3929189
1057,"(77, 348)",-13.90339136,167.3873746
1058,"(77, 348)",-13.90983564,167.3929189
1059,"(78, 104)",-12.01791851,-76.90640121
1060,"(78, 104)",-12.01791851,-76.90640121
1061,"(78, 104)",-12.01791851,-76.90640121
1062,"(78, 104)",-12.793282,-76.35892819
1063,"(78, 105)",-12.09537165,-75.0667519
1064,"(78, 105)",-12.09537165,-75.0667519
1065,"(78, 105)",-12.09537165,-75.0667519
1066,"(78, 106)",-12.79233934,-74.58298121
1067,"(78, 106)",-12.27460338,-74.76892631
1068,"(78, 108)",-12.34961551,-72.91524144
1069,"(78, 109)",-12.26624265,-71.29394899
1070,"(78, 139)",-12.47331113,-41.73007713
1071,"(78, 139)",-12.47331113,-41.73007713
1072,"(78, 139)",-12.47331113,-41.73007713
1073,"(78, 139)",-12.47331113,-41.73007713
1074,"(78, 139)",-12.47331113,-41.73007713
1075,"(78, 139)",-12.47331113,-41.73007713
1076,"(78, 140)",-12.38275155,-40.97082562
1077,"(78, 142)",-12.90460552,-38.44156755
1078,"(78, 142)",-12.54728365,-38.7668644
1079,"(78, 142)",-12.90311333,-38.44398503
1080,"(78, 142)",-12.90311333,-38.44398503
1081,"(78, 142)",-12.90311333,-38.44398503
1082,"(78, 142)",-12.90311333,-38.44398503
1083,"(78, 194)",-12.93351173,13.98970619
1084,"(78, 194)",-12.93351173,13.98970619
1085,"(78, 196)",-12.56992312,15.74654049
1086,"(78, 198)",-12.32493312,17.36258115
1087,"(78, 198)",-12.06428339,17.7674473
1088,"(78, 198)",-12.53785339,17.0178407
1089,"(78, 198)",-12.53785339,17.0178407
1090,"(78, 214)",-12.98401935,33.385454
1091,"(78, 220)",-12.45862046,39.36667124
1092,"(78, 220)",-12.45862046,39.36667124
